股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
002658,9.96,9.71,42.4%,51.5%,80,建议观察，待放量确认,雪迪龙
002617,9.07,9.05,19.4%,59.4%,80,建议观察，待放量确认,露笑科技
000721,9.26,9.12,11.4%,51.0%,80,建议观察，待放量确认,西安饮食
603313,9.91,9.7,33.8%,52.8%,80,建议观察，待放量确认,梦百合
002923,13.09,13.06,14.7%,51.6%,80,建议观察，待放量确认,润都股份
603811,11.91,11.58,38.2%,54.8%,80,建议观察，待放量确认,诚意药业
002584,9.44,9.2,17.7%,52.5%,80,建议观察，待放量确认,西陇科学
002129,9.26,9.04,24.3%,50.5%,80,建议观察，待放量确认,TCL中环
600983,10.81,10.77,7.6%,51.3%,80,建议观察，待放量确认,惠而浦
603208,14.62,14.63,9.3%,57.1%,80,建议观察，待放量确认,江山欧派
