代码,名称,启动日期,当前价格,回调天数,缩量比,信号强度,状态,操作建议
002769,普路通,2025-12-26,11.36,8,0.32,极强,仍在探底观察,重仓潜伏，博弈次日反包
603660,苏州科达,2025-12-26,11.43,8,0.37,较强,企稳信号已现,现价轻仓试错
000048,京基智农,2025-12-29,15.83,7,0.39,较强,企稳信号已现,现价轻仓试错
600576,祥源文旅,2025-12-26,6.63,8,0.40,较强,企稳信号已现,现价轻仓试错
603936,博敏电子,2025-12-29,12.83,7,0.47,较强,仍在探底观察,现价轻仓试错
000703,恒逸石化,2025-12-30,10.49,6,0.48,较强,仍在探底观察,现价轻仓试错
600178,东安动力,2025-12-29,13.03,7,0.49,较强,企稳信号已现,现价轻仓试错
601969,海南矿业,2025-12-26,11.53,8,0.52,较强,企稳信号已现,现价轻仓试错
603123,翠微股份,2025-12-29,15.14,7,0.53,较强,企稳信号已现,重仓潜伏，博弈次日反包
603798,康普顿,2025-12-30,16.56,6,0.55,较强,仍在探底观察,现价轻仓试错
600682,南京新百,2025-12-30,8.9,6,0.58,较强,企稳信号已现,现价轻仓试错
000411,英特集团,2025-12-30,12.95,6,0.60,较强,仍在探底观察,现价轻仓试错
002342,巨力索具,2025-12-30,10.98,6,0.62,较强,企稳信号已现,现价轻仓试错
000530,冰山冷热,2025-12-30,7.39,6,0.63,较强,企稳信号已现,现价轻仓试错
000987,越秀资本,2025-12-29,10.13,7,0.63,较强,企稳信号已现,现价轻仓试错
600330,天通股份,2025-12-26,13.93,8,0.64,较强,仍在探底观察,现价轻仓试错
002196,方正电机,2025-12-30,15.41,6,0.66,较强,企稳信号已现,现价轻仓试错
