date,code,name,price,amount_M,bias_ma5,day_1_ret,day_3_ret,day_5_ret,day_10_ret
2026-01-23,601012,隆基绿能,19.35,9394.05,7.67,,,,
2026-01-23,600829,人民同泰,12.04,649.17,5.69,,,,
2026-01-23,600207,安彩高科,5.2,284.19,5.56,,,,
2026-01-23,603878,武进不锈,8.98,456.18,9.06,,,,
2026-01-22,600603,广汇物流,6.62,215.92,4.88,1.96,,,
2026-01-22,002075,沙钢股份,5.97,773.15,5.11,4.69,,,
2026-01-22,603685,晨丰科技,19.75,127.35,5.9,0.15,,,
2026-01-21,002614,奥佳华,7.95,469.74,8.67,-0.75,,,
2026-01-14,000721,西安饮食,9.68,604.23,4.27,0.83,1.34,-3.0,
2026-01-12,605056,咸亨国际,18.25,176.76,6.88,1.04,-3.23,3.12,
2026-01-08,002671,龙泉股份,5.5,191.36,4.21,-1.09,-1.09,-0.36,6.91
2026-01-08,002952,亚世光电,21.24,234.71,4.89,-0.19,0.28,-0.38,1.55
2026-01-07,605303,园林股份,19.48,174.02,8.41,-4.0,-5.95,-7.91,-4.41
2026-01-07,603877,太平鸟,16.31,235.74,9.04,4.84,2.39,2.94,3.37
2026-01-07,601001,晋控煤业,14.5,741.41,6.48,0.07,0.0,-2.0,0.48
2026-01-07,002350,北京科锐,8.73,466.33,5.08,0.57,0.46,0.92,6.87
2026-01-07,600510,黑牡丹,9.19,198.99,5.63,-2.61,-6.42,-4.46,2.72
2026-01-06,000695,滨海能源,14.16,566.98,7.13,-3.53,-3.74,-4.8,-12.92
2026-01-06,002942,新农股份,21.16,181.18,6.76,-3.21,-4.06,-3.69,1.09
2026-01-06,600906,财达证券,7.12,743.61,4.25,-1.97,-1.83,-1.54,-3.65
2026-01-06,603399,永杉锂业,11.38,647.39,6.24,-0.79,-1.32,0.88,-2.2
2026-01-05,002317,众生药业,20.88,1665.17,5.7,0.48,2.83,4.65,3.78
2026-01-05,002995,天地在线,17.38,166.38,5.18,1.32,2.3,14.1,16.57
2026-01-05,603718,海利生物,6.58,302.12,5.58,-1.98,-2.28,-0.76,-1.82
2026-01-05,002925,盈趣科技,18.63,433.19,6.73,9.98,7.78,17.23,9.23
2026-01-05,603598,引力传媒,18.69,856.63,11.01,10.01,26.11,52.59,36.54
2026-01-05,600055,万东医疗,16.38,236.69,3.4,0.31,1.53,6.23,2.56
2026-01-05,000650,仁和药业,6.11,744.61,5.67,2.29,-1.31,1.15,0.0
2026-01-05,600826,兰生股份,11.59,178.6,7.1,3.36,4.23,7.25,2.67
2026-01-05,603108,润达医疗,15.82,506.3,4.95,-0.7,3.1,23.07,8.72
2025-12-31,603787,新日股份,14.06,139.71,6.24,-3.27,-5.48,-5.12,-2.92
2025-12-31,603712,七一二,20.77,764.41,3.88,2.31,5.54,10.16,4.62
2025-12-31,002659,凯文教育,5.86,311.58,6.86,2.73,3.24,6.31,9.22
2025-12-29,600637,东方明珠,9.98,1165.83,5.05,-3.11,-1.1,10.32,48.9
2025-12-29,002072,凯瑞德,7.72,82.76,7.7,-5.18,3.11,3.24,-4.66
2025-12-29,603116,红蜻蜓,6.3,134.65,7.29,0.0,-1.59,-1.59,4.13
2025-12-26,600348,华阳股份,8.17,921.86,4.69,3.18,1.1,1.71,2.82
2025-12-26,002357,富临运业,10.6,186.55,3.52,1.42,1.13,3.02,4.15
2025-12-25,002583,海能达,11.89,1548.42,7.58,-2.86,-4.88,-2.94,3.95
2025-12-25,002031,巨轮智能,7.91,2437.18,5.21,-1.77,2.15,-0.25,8.34
2025-12-25,002763,汇洁股份,7.89,82.86,7.17,10.01,-1.27,-7.73,-3.3
2025-12-25,600376,首开股份,5.92,1818.3,9.39,4.56,16.39,5.57,6.08
2025-12-25,002611,东方精工,18.9,2365.3,4.69,-2.49,1.27,0.85,5.5
2025-12-25,002196,方正电机,13.64,1758.32,7.88,0.29,13.12,10.48,14.15
