日期,股票代码,股票名称,收盘价,涨跌幅,形态
2026-01-23,605377,华旺科技,8.74,0.34,老鸭头
2026-01-23,600578,京能电力,5.49,-0.36,老鸭头
2026-01-23,000600,建投能源,8.84,0.23,老鸭头
2026-01-23,002350,北京科锐,9.42,1.73,回马枪
2026-01-21,603221,爱丽家居,13.55,-2.02,老鸭头
2026-01-23,688085,三友医疗,22.49,6.24,回马枪
2026-01-23,603759,海天股份,12.24,1.32,回马枪
2026-01-23,600106,重庆路桥,6.57,0.31,老鸭头
2026-01-21,002674,兴业科技,14.57,-1.42,老鸭头
2026-01-21,000039,中集集团,9.62,0.21,老鸭头
2026-01-23,002701,奥瑞金,5.96,0.17,老鸭头
2026-01-23,002014,永新股份,12.11,-1.54,老鸭头
2026-01-22,000716,黑芝麻,6.48,0.15,老鸭头
2026-01-21,000589,贵州轮胎,5.14,-0.19,老鸭头
2026-01-23,003003,天元股份,13.77,-0.58,老鸭头
2026-01-22,600706,曲江文旅,11.25,-0.09,老鸭头
2026-01-23,600029,南方航空,7.68,-2.54,老鸭头
2026-01-23,600774,汉商集团,11.55,10.0,回马枪
2026-01-23,002039,黔源电力,18.05,-0.77,老鸭头
2026-01-23,605108,同庆楼,20.12,0.95,老鸭头
2026-01-23,600628,新世界,8.3,-0.12,老鸭头
2026-01-22,600138,中青旅,10.13,0.2,老鸭头
2026-01-23,601555,东吴证券,9.37,-0.43,老鸭头
2026-01-23,003039,顺控发展,17.69,-1.89,回马枪
2026-01-23,603027,千禾味业,10.15,-0.49,老鸭头
2026-01-22,600884,杉杉股份,13.57,-2.37,老鸭头
2026-01-23,002678,珠江钢琴,5.35,-0.93,老鸭头
2026-01-23,600814,杭州解百,8.33,-0.83,老鸭头
2026-01-23,600350,山东高速,9.84,-0.81,老鸭头
2026-01-21,603766,隆鑫通用,15.51,1.84,老鸭头
2026-01-23,002041,登海种业,9.89,-0.5,老鸭头
2026-01-23,603967,中创物流,13.05,-1.06,老鸭头
2026-01-23,000543,皖能电力,8.47,-0.82,老鸭头
2026-01-22,603587,地素时尚,13.33,0.53,老鸭头
2026-01-23,601111,中国国航,8.77,-1.24,老鸭头
2026-01-23,001219,青岛食品,14.86,-0.67,老鸭头
2026-01-23,000978,桂林旅游,7.28,-0.27,老鸭头
2026-01-23,002012,凯恩股份,6.24,-0.95,老鸭头
2026-01-22,603081,大丰实业,14.25,0.49,老鸭头
2026-01-23,002339,积成电子,11.48,9.96,回马枪
2026-01-23,002570,贝因美,6.24,0.32,老鸭头
2026-01-23,000586,汇源通信,13.92,0.51,老鸭头
2026-01-23,600671,天目药业,19.57,-2.78,回马枪
2026-01-21,600595,中孚实业,9.55,-4.31,回马枪
2026-01-23,000419,通程控股,6.62,0.0,老鸭头
2026-01-22,600305,恒顺醋业,8.14,0.49,老鸭头
2026-01-23,002875,安奈儿,17.63,-0.28,老鸭头
2026-01-23,002300,太阳电缆,9.79,1.98,老鸭头
2026-01-21,600295,鄂尔多斯,15.67,4.82,回马枪
2026-01-22,002299,圣农发展,16.61,0.06,老鸭头
2026-01-23,600403,大有能源,7.3,-1.35,回马枪
2026-01-22,600641,万业企业,18.49,-4.49,老鸭头
2026-01-23,601686,友发集团,6.41,0.0,老鸭头
2026-01-23,688106,金宏气体,24.18,2.59,回马枪
2026-01-21,601857,中国石油,10.0,0.81,老鸭头
2026-01-23,600820,隧道股份,6.7,-0.3,老鸭头
2026-01-23,603101,汇嘉时代,10.27,-0.1,老鸭头
2026-01-23,002799,环球印务,9.45,0.75,回马枪
2026-01-23,600250,南京商旅,11.93,-1.4,老鸭头
